data,valores
2003-08-01,6500.0
2003-09-01,6600.0
2003-10-01,6900.0
2003-11-01,6600.0
2003-12-01,12300.0
2004-01-01,5800.0
2004-02-01,7120.0
2004-03-01,7140.0
2004-04-01,7200.0
2004-05-01,7280.0
2004-06-01,7900.0
2004-07-01,7900.0
2004-08-01,7510.0
2004-09-01,7580.0
2004-10-01,7530.0
2004-11-01,7680.0
2004-12-01,13320.0
2005-01-01,8040.0
2005-02-01,7380.0
2005-03-01,8230.0
2005-04-01,8600.0
2005-05-01,8180.0
2005-06-01,8590.0
2005-07-01,8470.0
2005-08-01,8950.0
2005-09-01,8750.0
2005-10-01,8700.0
2005-11-01,8700.0
2005-12-01,15490.0
2006-01-01,10410.0
2006-02-01,9320.0
2006-03-01,9200.0
2006-04-01,9280.0
2006-05-01,9580.0
2006-06-01,9650.0
2006-07-01,9730.0
2006-08-01,10020.0
2006-09-01,10420.0
2006-10-01,10310.0
2006-11-01,10410.0
2006-12-01,17391.1
2007-01-01,9477.2
2007-02-01,10436.8
2007-03-01,10534.0
2007-04-01,10622.1
2007-05-01,10837.5
2007-06-01,10928.8
2007-07-01,11195.1
2007-08-01,11684.0
2007-09-01,11392.6
2007-10-01,11711.9
2007-11-01,11763.4
2007-12-01,19828.3
2008-01-01,11206.9
2008-02-01,11927.5
2008-03-01,12134.0
2008-04-01,12641.6
2008-05-01,12650.0
2008-06-01,12942.8
2008-07-01,13230.2
2008-08-01,13193.2
2008-09-01,13430.0
2008-10-01,13475.7
2008-11-01,13559.2
2008-12-01,22964.2
2009-01-01,12031.8
2009-02-01,13169.2
2009-03-01,14209.6
2009-04-01,14089.7
2009-05-01,14400.8
2009-06-01,14063.9
2009-07-01,14287.3
2009-08-01,14400.2
2009-09-01,14124.8
2009-10-01,14864.9
2009-11-01,16848.8
2009-12-01,25591.5
2010-01-01,14076.0
2010-02-01,15207.3
2010-03-01,15998.9
2010-04-01,16330.1
2010-05-01,16563.5
2010-06-01,16580.3
2010-07-01,16832.6
2010-08-01,17330.6
2010-09-01,17285.1
2010-10-01,17563.6
2010-11-01,18027.6
2010-12-01,30523.7
2011-01-01,17208.3
2011-02-01,17777.6
2011-03-01,18150.0
2011-04-01,18546.2
2011-05-01,19081.7
2011-06-01,19612.1
2011-07-01,19839.0
2011-08-01,20450.9
2011-09-01,19856.7
2011-10-01,20521.6
2011-11-01,20663.8
2011-12-01,34699.2
2012-01-01,19674.1
2012-02-01,18802.3
2012-03-01,22363.6
2012-04-01,21765.6
2012-05-01,21877.5
2012-06-01,21631.9
2012-07-01,22384.2
2012-08-01,22534.6
2012-09-01,21764.1
2012-10-01,22381.3
2012-11-01,22644.0
2012-12-01,38636.6
2013-01-01,21411.0
2013-02-01,22047.0
2013-03-01,22790.8
2013-04-01,25266.9
2013-05-01,24447.6
2013-06-01,24081.0
2013-07-01,24708.1
2013-08-01,24881.3
2013-09-01,25177.7
2013-10-01,25443.4
2013-11-01,25859.0
2013-12-01,41743.4
2014-01-01,24686.8
2014-02-01,25318.4
2014-03-01,25224.5
2014-04-01,26799.3
2014-05-01,26673.0
2014-06-01,26878.2
2014-07-01,26865.3
2014-08-01,27875.6
2014-09-01,27631.1
2014-10-01,27589.1
2014-11-01,28997.4
2014-12-01,43717.3
2015-01-01,26216.9
2015-02-01,26989.6
2015-03-01,27229.9
2015-04-01,30452.1
2015-05-01,28538.2
2015-06-01,27600.0
2015-07-01,28062.4
2015-08-01,27965.7
2015-09-01,27518.1
2015-10-01,26041.4
2015-11-01,26186.8
2015-12-01,48695.4
2016-01-01,27368.9
2016-02-01,28014.7
2016-03-01,28708.4
2016-04-01,30431.4
2016-05-01,28381.2
2016-06-01,28488.1
2016-07-01,27553.6
2016-08-01,28527.0
2016-09-01,27738.4
2016-10-01,28257.8
2016-11-01,28603.4
2016-12-01,46809.5
2017-01-01,26962.0
2017-02-01,28402.0
2017-03-01,29029.1
2017-04-01,31132.3
2017-05-01,29460.8
2017-06-01,29783.1
2017-07-01,29628.4
2017-08-01,30297.5
2017-09-01,30232.4
2017-10-01,30186.8
2017-11-01,30684.4
2017-12-01,49167.4
2018-01-01,28964.4
2018-02-01,29933.0
2018-03-01,29516.2
2018-04-01,32804.5
2018-05-01,30869.7
2018-06-01,30349.7
2018-07-01,30729.1
2018-08-01,31331.1
2018-09-01,30139.3
2018-10-01,32038.8
2018-11-01,31978.2
2018-12-01,53499.2
2019-01-01,32492.4
2019-02-01,31654.7
2019-03-01,31377.8
2019-04-01,34062.7
2019-05-01,32705.7
2019-06-01,32757.9
2019-07-01,32221.1
2019-08-01,32983.5
2019-09-01,32590.2
2019-10-01,33947.1
2019-11-01,32976.2
2019-12-01,54384.0
2020-01-01,33095.6
2020-02-01,32664.4
2020-03-01,31508.2
2020-04-01,22812.8
2020-05-01,20535.3
2020-06-01,21776.7
2020-07-01,30914.6
