data,valores
2003-08-01,6300.0
2003-09-01,6400.0
2003-10-01,6700.0
2003-11-01,6300.0
2003-12-01,12000.0
2004-01-01,5700.0
2004-02-01,7010.0
2004-03-01,6930.0
2004-04-01,6880.0
2004-05-01,6960.0
2004-06-01,7610.0
2004-07-01,7610.0
2004-08-01,7260.0
2004-09-01,7320.0
2004-10-01,7280.0
2004-11-01,7430.0
2004-12-01,12990.0
2005-01-01,7780.0
2005-02-01,7180.0
2005-03-01,8000.0
2005-04-01,8300.0
2005-05-01,7850.0
2005-06-01,8290.0
2005-07-01,8190.0
2005-08-01,8670.0
2005-09-01,8470.0
2005-10-01,8420.0
2005-11-01,8420.0
2005-12-01,15140.0
2006-01-01,10070.0
2006-02-01,9090.0
2006-03-01,8960.0
2006-04-01,8970.0
2006-05-01,9250.0
2006-06-01,9320.0
2006-07-01,9410.0
2006-08-01,9670.0
2006-09-01,10060.0
2006-10-01,9980.0
2006-11-01,10070.0
2006-12-01,16980.0
2007-01-01,9198.0
2007-02-01,10190.8
2007-03-01,10251.3
2007-04-01,10235.6
2007-05-01,10469.3
2007-06-01,10568.8
2007-07-01,10853.7
2007-08-01,11331.7
2007-09-01,11040.3
2007-10-01,11338.8
2007-11-01,11391.1
2007-12-01,19370.3
2008-01-01,10890.7
2008-02-01,11623.6
2008-03-01,11760.9
2008-04-01,12190.2
2008-05-01,12155.2
2008-06-01,12491.3
2008-07-01,12804.6
2008-08-01,12753.7
2008-09-01,13022.0
2008-10-01,13070.7
2008-11-01,13155.3
2008-12-01,22463.6
2009-01-01,11686.5
2009-02-01,12867.7
2009-03-01,13868.7
2009-04-01,13665.1
2009-05-01,13926.8
2009-06-01,13642.2
2009-07-01,13925.5
2009-08-01,14033.3
2009-09-01,13760.7
2009-10-01,14496.9
2009-11-01,16449.4
2009-12-01,25147.2
2010-01-01,13720.4
2010-02-01,14884.1
2010-03-01,15619.0
2010-04-01,15932.3
2010-05-01,16137.1
2010-06-01,16195.1
2010-07-01,16443.1
2010-08-01,16903.9
2010-09-01,16869.5
2010-10-01,17150.0
2010-11-01,17610.6
2010-12-01,30030.5
2011-01-01,16831.0
2011-02-01,17438.6
2011-03-01,17763.7
2011-04-01,18063.9
2011-05-01,18582.9
2011-06-01,19147.1
2011-07-01,19395.1
2011-08-01,19978.0
2011-09-01,19371.0
2011-10-01,20047.7
2011-11-01,20242.0
2011-12-01,34176.5
2012-01-01,19285.3
2012-02-01,18444.7
2012-03-01,21926.8
2012-04-01,21204.7
2012-05-01,21342.6
2012-06-01,21123.6
2012-07-01,21934.4
2012-08-01,22038.0
2012-09-01,21261.6
2012-10-01,21911.7
2012-11-01,22160.5
2012-12-01,38035.2
2013-01-01,20990.8
2013-02-01,21639.2
2013-03-01,22303.7
2013-04-01,22821.2
2013-05-01,23247.7
2013-06-01,22597.7
2013-07-01,23390.3
2013-08-01,23440.1
2013-09-01,23655.5
2013-10-01,24081.6
2013-11-01,24385.8
2013-12-01,40095.4
2014-01-01,23257.5
2014-02-01,23861.5
2014-03-01,23654.7
2014-04-01,23971.4
2014-05-01,24741.9
2014-06-01,24562.3
2014-07-01,24754.2
2014-08-01,25776.1
2014-09-01,25345.7
2014-10-01,25509.4
2014-11-01,26759.5
2014-12-01,41281.2
2015-01-01,24023.7
2015-02-01,24881.8
2015-03-01,25001.0
2015-04-01,25592.1
2015-05-01,25724.7
2015-06-01,24998.9
2015-07-01,25417.8
2015-08-01,25470.4
2015-09-01,24995.3
2015-10-01,25438.6
2015-11-01,25564.0
2015-12-01,41764.3
2016-01-01,24779.1
2016-02-01,25555.4
2016-03-01,26285.3
2016-04-01,26375.2
2016-05-01,26632.9
2016-06-01,26558.1
2016-07-01,25747.6
2016-08-01,26862.3
2016-09-01,26015.7
2016-10-01,26573.7
2016-11-01,27014.2
2016-12-01,44919.9
2017-01-01,25303.6
2017-02-01,26867.1
2017-03-01,27315.4
2017-04-01,27548.1
2017-05-01,27634.0
2017-06-01,27673.3
2017-07-01,27751.9
2017-08-01,28470.8
2017-09-01,28283.3
2017-10-01,28422.7
2017-11-01,29209.8
2017-12-01,47287.1
2018-01-01,27327.4
2018-02-01,28358.9
2018-03-01,27891.6
2018-04-01,28683.5
2018-05-01,28989.0
2018-06-01,28384.0
2018-07-01,28896.0
2018-08-01,29542.3
2018-09-01,28359.4
2018-10-01,30243.1
2018-11-01,30394.5
2018-12-01,51722.7
2019-01-01,30863.3
2019-02-01,30477.4
2019-03-01,30052.3
2019-04-01,31037.2
2019-05-01,31221.3
2019-06-01,31255.4
2019-07-01,30840.8
2019-08-01,31629.4
2019-09-01,31186.5
2019-10-01,32640.0
2019-11-01,31557.3
2019-12-01,52768.3
2020-01-01,31781.0
2020-02-01,31344.9
2020-03-01,30215.4
2020-04-01,19961.9
2020-05-01,19365.5
2020-06-01,20481.8
2020-07-01,29637.9
2020-08-01,38418.7
2020-09-01,32280.0
2020-10-01,40039.2
2020-11-01,38823.9
2020-12-01,55145.7
2021-01-01,31755.2
2021-02-01,33745.7
2021-03-01,33352.4
2021-04-01,32895.4
2021-05-01,32437.8
2021-06-01,32410.9
2021-07-01,36594.7
2021-08-01,36542.4
2021-09-01,38349.4
2021-10-01,36855.9
2021-11-01,38684.7
2021-12-01,62259.7
2022-01-01,38462.3
2022-02-01,38487.4
2022-03-01,40236.3
2022-04-01,40257.4
2022-05-01,41206.7
2022-06-01,40111.0
2022-07-01,41878.8
2022-08-01,42887.8
2022-09-01,42915.7
2022-10-01,44967.4
2022-11-01,41682.0
2022-12-01,68552.9
2023-01-01,45507.0
2023-02-01,43493.3
2023-03-01,44795.2
2023-04-01,45035.1
2023-05-01,47020.6
2023-06-01,45131.5
2023-07-01,46725.0
2023-08-01,46697.4
2023-09-01,47587.4
2023-10-01,47577.8
2023-11-01,47788.3
2023-12-01,75965.9
2024-01-01,50883.4
2024-02-01,47118.5
2024-03-01,50000.2
2024-04-01,49599.0
2024-05-01,48204.8
2024-06-01,48863.9
2024-07-01,50113.7
2024-08-01,52916.9
2024-09-01,48338.7
2024-10-01,51136.2
2024-11-01,51270.4
2024-12-01,82307.5
2025-01-01,52806.5
2025-02-01,53388.2
2025-03-01,53867.1
2025-04-01,53753.4
2025-05-01,55031.7
2025-06-01,51589.3
2025-07-01,54408.2
2025-08-01,58766.8
2025-09-01,57126.7
2025-10-01,57207.8
2025-11-01,57387.6
2025-12-01,91080.7
2026-01-01,59103.6
2026-02-01,58627.4
2026-03-01,59542.2
