data,valores
2010-01-01,17429.4
2010-02-01,18761.7
2010-03-01,18973.2
2010-04-01,18855.6
2010-05-01,18718.9
2010-06-01,18921.0
2010-07-01,18944.0
2010-08-01,22350.6
2010-09-01,25991.6
2010-10-01,19270.7
2010-11-01,22016.4
2010-12-01,26543.1
2011-01-01,19914.0
2011-02-01,20810.4
2011-03-01,20924.0
2011-04-01,20946.7
2011-05-01,21090.5
2011-06-01,21102.7
2011-07-01,21322.1
2011-08-01,23726.5
2011-09-01,28712.3
2011-10-01,21422.6
2011-11-01,24171.6
2011-12-01,29301.6
2012-01-01,22429.1
2012-02-01,23504.7
2012-03-01,23710.7
2012-04-01,24024.0
2012-05-01,23965.0
2012-06-01,23797.5
2012-07-01,24259.1
2012-08-01,27082.6
2012-09-01,32474.0
2012-10-01,24629.4
2012-11-01,27453.6
2012-12-01,31808.0
2013-01-01,26848.4
2013-02-01,25192.7
2013-03-01,27357.6
2013-04-01,28235.1
2013-05-01,26757.9
2013-06-01,26620.2
2013-07-01,27075.0
2013-08-01,29974.5
2013-09-01,36787.7
2013-10-01,27019.1
2013-11-01,30638.2
2013-12-01,35963.2
2014-01-01,27884.8
2014-02-01,27730.7
2014-03-01,29273.6
2014-04-01,29216.0
2014-05-01,29930.7
2014-06-01,30741.1
2014-07-01,31184.6
2014-08-01,33022.6
2014-09-01,40612.1
2014-10-01,29744.8
2014-11-01,33357.1
2014-12-01,41090.7
2015-01-01,31934.1
2015-02-01,32448.2
2015-03-01,33275.5
2015-04-01,32870.8
2015-05-01,34285.8
2015-06-01,33149.4
2015-07-01,33016.7
2015-08-01,32483.1
2015-09-01,36628.1
2015-10-01,44854.8
2015-11-01,36904.5
2015-12-01,45296.3
2016-01-01,34837.0
2016-02-01,37768.3
2016-03-01,38526.6
2016-04-01,38212.5
2016-05-01,39757.0
2016-06-01,38423.6
2016-07-01,38284.6
2016-08-01,43195.8
2016-09-01,51783.3
2016-10-01,38622.9
2016-11-01,42970.5
2016-12-01,52578.1
2017-01-01,39799.1
2017-02-01,41408.6
2017-03-01,41408.4
2017-04-01,42156.4
2017-05-01,42054.8
2017-06-01,41659.0
2017-07-01,42013.5
2017-08-01,46339.7
2017-09-01,57378.4
2017-10-01,42960.6
2017-11-01,47152.8
2017-12-01,57650.4
2018-01-01,42911.3
2018-02-01,43739.5
2018-03-01,43972.3
2018-04-01,43839.5
2018-05-01,44962.7
2018-06-01,43689.9
2018-07-01,43849.4
2018-08-01,48191.8
2018-09-01,60378.1
2018-10-01,44072.5
2018-11-01,48708.0
2018-12-01,61132.7
2019-01-01,45262.4
2019-02-01,45940.7
2019-03-01,46696.9
2019-04-01,46488.5
2019-05-01,46385.4
2019-06-01,46353.4
2019-07-01,46884.8
2019-08-01,52178.0
2019-09-01,64634.2
2019-10-01,47178.7
2019-11-01,52976.2
2019-12-01,65163.7
2020-01-01,47532.2
2020-02-01,50076.3
2020-03-01,49359.8
2020-04-01,54957.8
2020-05-01,74048.2
2020-06-01,67778.0
2020-07-01,48985.2
2020-08-01,48796.6
2020-09-01,49609.3
2020-10-01,49848.7
2020-11-01,50504.3
2020-12-01,50943.9
2021-01-01,50751.8
2021-02-01,52662.8
2021-03-01,53473.8
2021-04-01,52427.8
2021-05-01,59991.0
2021-06-01,78272.6
2021-07-01,72594.7
2021-08-01,52313.6
2021-09-01,53298.1
2021-10-01,52914.1
2021-11-01,52378.9
2021-12-01,53744.8
2022-01-01,54588.9
2022-02-01,58329.0
2022-03-01,59761.5
2022-04-01,64958.5
2022-05-01,87494.5
2022-06-01,80986.8
2022-07-01,59498.0
2022-08-01,59036.6
2022-09-01,59361.9
2022-10-01,59704.2
2022-11-01,59795.1
2022-12-01,60674.1
2023-01-01,61183.7
2023-02-01,63686.7
2023-03-01,63990.7
2023-04-01,63929.3
2023-05-01,71013.9
2023-06-01,95375.4
2023-07-01,88466.5
2023-08-01,64913.5
2023-09-01,66912.8
2023-10-01,64552.2
2023-11-01,65584.4
2023-12-01,65529.2
2024-01-01,66155.5
2024-02-01,69464.9
2024-03-01,69640.0
2024-04-01,77937.4
2024-05-01,107445.5
2024-06-01,92029.5
2024-07-01,70663.3
2024-08-01,69797.0
2024-09-01,70067.0
2024-10-01,70108.2
2024-11-01,70707.8
2024-12-01,69870.2
2025-01-01,71491.0
2025-02-01,75094.6
2025-03-01,75058.2
2025-04-01,83913.8
2025-05-01,110509.2
2025-06-01,102848.0
2025-07-01,76173.5
2025-08-01,75822.4
2025-09-01,76524.3
2025-10-01,75971.0
2025-11-01,76562.5
2025-12-01,78061.9
2026-01-01,77655.4
2026-02-01,79900.7
2026-03-01,82262.7
