data,valores
2003-08-01,7100.0
2003-09-01,7200.0
2003-10-01,7200.0
2003-11-01,7800.0
2003-12-01,13500.0
2004-01-01,7300.0
2004-02-01,7400.0
2004-03-01,7030.0
2004-04-01,7460.0
2004-05-01,7380.0
2004-06-01,7730.0
2004-07-01,7730.0
2004-08-01,7950.0
2004-09-01,8270.0
2004-10-01,8220.0
2004-11-01,8240.0
2004-12-01,16330.0
2005-01-01,8580.0
2005-02-01,9130.0
2005-03-01,8650.0
2005-04-01,8690.0
2005-05-01,8520.0
2005-06-01,9500.0
2005-07-01,9360.0
2005-08-01,9370.0
2005-09-01,9300.0
2005-10-01,9620.0
2005-11-01,9620.0
2005-12-01,18210.0
2006-01-01,10660.0
2006-02-01,9570.0
2006-03-01,9610.0
2006-04-01,9520.0
2006-05-01,10330.0
2006-06-01,10280.0
2006-07-01,10580.0
2006-08-01,10460.0
2006-09-01,15270.0
2006-10-01,10760.0
2006-11-01,10660.0
2006-12-01,15670.0
2007-01-01,15670.0
2007-02-01,15670.0
2007-03-01,15670.0
2007-04-01,15670.0
2007-05-01,15670.0
2007-06-01,15670.0
2007-07-01,15670.0
2007-08-01,15670.0
2007-09-01,15670.0
2007-10-01,15670.0
2007-11-01,15670.0
2007-12-01,15670.0
2008-01-01,15670.0
2008-02-01,15670.0
2008-03-01,15670.0
2008-04-01,15670.0
2008-05-01,15670.0
2008-06-01,15670.0
2008-07-01,15670.0
2008-08-01,15670.0
2008-09-01,15670.0
2008-10-01,15670.0
2008-11-01,15670.0
2008-12-01,15670.0
2009-01-01,14723.4
2009-02-01,12599.5
2009-03-01,13872.2
2009-04-01,13751.3
2009-05-01,13712.4
2009-06-01,13956.2
2009-07-01,13912.5
2009-08-01,15666.4
2009-09-01,18647.4
2009-10-01,14152.4
2009-11-01,15995.0
2009-12-01,19097.6
2010-01-01,13937.2
2010-02-01,15002.7
2010-03-01,15171.7
2010-04-01,15077.7
2010-05-01,14968.4
2010-06-01,15130.1
2010-07-01,15148.4
2010-08-01,15490.4
2010-09-01,15517.4
2010-10-01,15609.2
2010-11-01,17034.9
2010-12-01,20817.8
2011-01-01,15497.1
2011-02-01,16253.9
2011-03-01,16305.1
2011-04-01,16352.2
2011-05-01,16450.8
2011-06-01,16464.1
2011-07-01,16635.3
2011-08-01,17745.8
2011-09-01,23163.6
2011-10-01,16788.1
2011-11-01,18121.7
2011-12-01,23697.7
2012-01-01,17276.0
2012-02-01,18174.1
2012-03-01,18355.4
2012-04-01,18627.0
2012-05-01,18543.2
2012-06-01,18409.0
2012-07-01,18773.7
2012-08-01,20088.0
2012-09-01,25916.7
2012-10-01,19088.2
2012-11-01,20379.2
2012-12-01,25726.6
2013-01-01,20482.7
2013-02-01,19715.7
2013-03-01,21410.7
2013-04-01,21496.7
2013-05-01,20676.4
2013-06-01,20578.8
2013-07-01,20944.7
2013-08-01,22203.0
2013-09-01,29348.6
2013-10-01,20912.0
2013-11-01,22750.5
2013-12-01,29128.6
2014-01-01,21518.4
2014-02-01,21819.2
2014-03-01,22624.7
2014-04-01,22617.5
2014-05-01,23235.4
2014-06-01,23350.8
2014-07-01,23808.3
2014-08-01,24525.0
2014-09-01,32443.0
2014-10-01,23085.6
2014-11-01,24831.0
2014-12-01,33231.3
2015-01-01,31934.1
2015-02-01,25088.5
2015-03-01,25745.6
2015-04-01,25446.6
2015-05-01,26800.2
2015-06-01,25672.3
2015-07-01,25566.3
2015-08-01,25156.3
2015-09-01,27208.9
2015-10-01,35855.1
2015-11-01,27433.9
2015-12-01,36234.7
2016-01-01,26816.7
2016-02-01,29388.0
2016-03-01,30045.2
2016-04-01,29805.8
2016-05-01,31233.4
2016-06-01,30005.0
2016-07-01,29886.8
2016-08-01,32429.2
2016-09-01,41606.3
2016-10-01,30184.3
2016-11-01,32319.5
2016-12-01,42353.9
2017-01-01,30979.6
2017-02-01,32399.0
2017-03-01,32399.5
2017-04-01,33071.3
2017-05-01,33057.1
2017-06-01,32644.0
2017-07-01,32965.7
2017-08-01,34905.5
2017-09-01,46314.1
2017-10-01,33792.5
2017-11-01,35618.8
2017-12-01,46585.2
2018-01-01,33728.6
2018-02-01,34326.1
2018-03-01,34657.0
2018-04-01,34528.1
2018-05-01,35526.6
2018-06-01,34439.7
2018-07-01,34557.7
2018-08-01,36499.4
2018-09-01,49000.7
2018-10-01,34767.2
2018-11-01,36927.8
2018-12-01,49745.7
2019-01-01,35724.8
2019-02-01,36240.0
2019-03-01,36932.8
2019-04-01,36735.3
2019-05-01,36689.8
2019-06-01,36787.8
2019-07-01,37141.8
2019-08-01,39789.7
2019-09-01,52676.5
2019-10-01,37343.4
2019-11-01,40424.0
2019-12-01,53138.4
2020-01-01,37615.0
2020-02-01,39754.4
2020-03-01,39132.6
2020-04-01,41964.9
2020-05-01,60616.6
2020-06-01,55288.7
2020-07-01,38819.5
2020-08-01,38597.8
2020-09-01,39315.6
2020-10-01,39578.4
2020-11-01,40051.7
2020-12-01,40583.1
2021-01-01,40178.4
2021-02-01,41846.3
2021-03-01,42534.3
2021-04-01,41657.0
2021-05-01,46124.0
2021-06-01,62162.4
2021-07-01,59315.6
2021-08-01,41418.5
2021-09-01,42355.4
2021-10-01,42042.7
2021-11-01,41458.8
2021-12-01,42813.8
2022-01-01,43121.7
2022-02-01,46272.7
2022-03-01,47615.0
2022-04-01,49714.4
2022-05-01,69524.4
2022-06-01,65933.3
2022-07-01,47209.8
2022-08-01,46848.9
2022-09-01,47114.0
2022-10-01,47518.1
2022-11-01,47496.3
2022-12-01,48342.8
2023-01-01,48427.2
2023-02-01,50571.2
2023-03-01,50906.5
2023-04-01,50713.6
2023-05-01,54241.1
2023-06-01,75479.7
2023-07-01,71918.6
2023-08-01,51364.6
2023-09-01,53186.8
2023-10-01,50955.0
2023-11-01,51893.1
2023-12-01,51783.1
2024-01-01,52063.5
2024-02-01,54721.4
2024-03-01,54950.6
2024-04-01,59503.1
2024-05-01,85192.8
2024-06-01,74273.7
2024-07-01,55827.7
2024-08-01,55046.9
2024-09-01,55256.7
2024-10-01,55280.9
2024-11-01,55659.3
2024-12-01,54806.2
2025-01-01,56168.0
2025-02-01,59009.5
2025-03-01,58781.5
2025-04-01,63515.4
2025-05-01,86666.4
2025-06-01,82954.0
2025-07-01,59915.5
2025-08-01,59652.8
2025-09-01,60212.8
2025-10-01,59651.1
2025-11-01,60185.9
2025-12-01,61618.8
2026-01-01,60949.8
2026-02-01,62673.7
2026-03-01,64634.5
