data,valores
1872,9930478
1873,10254561
1874,10562289
1875,10855729
1876,11136041
1877,11405105
1878,11662613
1879,11910476
1880,12149854
1881,12382533
1882,12608404
1883,12829273
1884,13046299
1885,13261226
1886,13474044
1887,13686501
1888,13899758
1889,14115568
1890,14333915
1891,14557036
1892,14788548
1893,15033251
1894,15293926
1895,15575332
1896,15881578
1897,16217735
1898,16586086
1899,16991616
1900,17438434
1901,17929307
1902,18461629
1903,19031450
1904,19634822
1905,20269567
1906,20928257
1907,21608640
1908,22306766
1909,23020652
1910,23742439
1911,24470111
1912,25199720
1913,25929302
1914,26650913
1915,27362602
1916,28060420
1917,28742252
1918,29400416
1919,30032850
1920,30635605
1921,31207610
1922,31748579
1923,32264309
1924,32758986
1925,33238089
1926,33703196
1927,34159827
1928,34612169
1929,35065652
1930,35521996
1931,35986627
1932,36463732
1933,36958878
1934,37473558
1935,38013287
1936,38582254
1937,39186346
1938,39826461
1939,40508387
1940,41236315
1941,42016601
1942,42849006
1943,43739572
1944,44692280
1945,45713996
1946,46803127
1947,47966354
1948,49207657
1949,50534759
1950,51944397
1951,53442595
1952,55025987
1953,56694401
1954,58433873
1955,60244018
1956,62119999
1957,64062369
1958,66055665
1959,68100277
1960,70191370
1961,72330532
1962,74503855
1963,76715435
1964,78963582
1965,81252905
1966,83569199
1967,85916980
1968,88294559
1969,90706870
1970,93139037
1971,95596369
1972,98079406
1973,100596051
1974,103133542
1975,105699705
1976,108295530
1977,110929241
1978,113587439
1979,116278265
1980,119002706
1981,121765826
1982,124535951
1983,127300561
1984,130039623
1985,132740403
1986,135368066
1987,137910029
1988,140346260
1989,142662867
1990,144827113
1991,146825475
1992,148665399
1993,150469241
1994,152372304
1995,154524335
1996,157070163
1997,160096249
1998,163394615
1999,166714919
2000,169799170
2001,172456900
2002,174720036
2003,176703510
2004,178514368
2005,180264444
2006,182051463
2007,183987291
2008,186141620
2009,188441092
2010,190755799
2011,192989569
2012,195099122
2013,197061065
2014,198836089
2015,200401258
2016,201728051
2017,202790459
2018,203554092
2019,203993710
2020,204080793
2021,203785465
2022,203080756
2023,203997347
2024,204861525
